subject_id,WENAPPLE0626
muscle,ForearmFlexor
test_type,Controlled_Force
mvc_trial1_kg,31.20
mvc_trial2_kg,26.90
mvc_trial3_kg,26.00
mvc_kg_100_percent,31.20
manual_mvc_trial_kg,
mvc_level,60% MVC
target_force_kg,18.72
sample_rate,1000
baseline,442.6700
rms,3.0703
battery_mv_last,3934
battery_percent_last,70
record_time,2026-06-26 14:27:10

sample_index,time_sec,adc_raw,emg_centered,battery_mv,battery_percent,mvc_kg_100_percent,mvc_level,target_force_kg,test_type
1955200,0.0000,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955201,0.0010,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955202,0.0020,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955203,0.0030,440,-2.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955204,0.0040,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955205,0.0050,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955206,0.0060,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955207,0.0070,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955208,0.0080,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955209,0.0090,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955210,0.0100,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955211,0.0110,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955212,0.0120,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955213,0.0130,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955214,0.0140,441,-1.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955215,0.0150,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955216,0.0160,444,1.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955217,0.0170,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955218,0.0180,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955219,0.0190,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955220,0.0200,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955221,0.0210,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955222,0.0220,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955223,0.0230,444,1.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955224,0.0240,441,-1.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955225,0.0250,441,-1.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955226,0.0260,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955227,0.0270,444,1.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955228,0.0280,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955229,0.0290,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955230,0.0300,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955231,0.0310,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955232,0.0320,442,-0.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955233,0.0330,441,-1.6700,3934,70,31.20,60% MVC,18.72,Controlled_Force
1955234,0.0340,443,0.3300,3934,70,31.20,60% MVC,18.72,Controlled_Force
