subject_id,S02
muscle,FF
test_type,MVC
mvc_trial1_kg,21.30
mvc_trial2_kg,20.60
mvc_trial3_kg,18.30
mvc_kg_100_percent,0.00
manual_mvc_trial_kg,18.3
mvc_level,100% MVC
target_force_kg,18.30
sample_rate,1000
baseline,441.9290
rms,9.0724
battery_mv_last,3947
battery_percent_last,70
record_time,2026-07-24 16:47:59

sample_index,time_sec,adc_raw,emg_centered,battery_mv,battery_percent,mvc_kg_100_percent,mvc_level,target_force_kg,test_type
202176,0.0000,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202177,0.0010,444,2.0710,3944,70,0.00,100% MVC,18.30,MVC
202178,0.0020,446,4.0710,3944,70,0.00,100% MVC,18.30,MVC
202179,0.0030,444,2.0710,3944,70,0.00,100% MVC,18.30,MVC
202180,0.0040,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202181,0.0050,444,2.0710,3944,70,0.00,100% MVC,18.30,MVC
202182,0.0060,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202183,0.0070,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202184,0.0080,440,-1.9290,3944,70,0.00,100% MVC,18.30,MVC
202185,0.0090,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202186,0.0100,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202187,0.0110,440,-1.9290,3944,70,0.00,100% MVC,18.30,MVC
202188,0.0120,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202189,0.0130,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202190,0.0140,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202191,0.0150,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202192,0.0160,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202193,0.0170,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202194,0.0180,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202195,0.0190,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202196,0.0200,440,-1.9290,3944,70,0.00,100% MVC,18.30,MVC
202197,0.0210,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202198,0.0220,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202199,0.0230,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202200,0.0240,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202201,0.0250,439,-2.9290,3944,70,0.00,100% MVC,18.30,MVC
202202,0.0260,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202203,0.0270,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202204,0.0280,440,-1.9290,3944,70,0.00,100% MVC,18.30,MVC
202205,0.0290,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202206,0.0300,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202207,0.0310,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202208,0.0320,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202209,0.0330,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202210,0.0340,444,2.0710,3944,70,0.00,100% MVC,18.30,MVC
202211,0.0350,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202212,0.0360,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202213,0.0370,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202214,0.0380,444,2.0710,3944,70,0.00,100% MVC,18.30,MVC
202215,0.0390,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202216,0.0400,444,2.0710,3944,70,0.00,100% MVC,18.30,MVC
202217,0.0410,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202218,0.0420,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202219,0.0430,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202220,0.0440,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202221,0.0450,444,2.0710,3944,70,0.00,100% MVC,18.30,MVC
202222,0.0460,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202223,0.0470,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202224,0.0480,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202225,0.0490,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
202226,0.0500,443,1.0710,3944,70,0.00,100% MVC,18.30,MVC
202227,0.0510,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202228,0.0520,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202229,0.0530,442,0.0710,3944,70,0.00,100% MVC,18.30,MVC
202230,0.0540,441,-0.9290,3944,70,0.00,100% MVC,18.30,MVC
