subject_id,S02
muscle,FF
test_type,Controlled_Force
mvc_trial1_kg,18.20
mvc_trial2_kg,19.10
mvc_trial3_kg,19.20
mvc_kg_100_percent,19.20
manual_mvc_trial_kg,
mvc_level,100% MVC
target_force_kg,19.20
sample_rate,1000
baseline,442.1880
rms,3.6199
battery_mv_last,3952
battery_percent_last,70
record_time,2026-07-24 16:20:25

sample_index,time_sec,adc_raw,emg_centered,battery_mv,battery_percent,mvc_kg_100_percent,mvc_level,target_force_kg,test_type
1089024,0.0000,440,-2.1880,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089025,0.0010,441,-1.1880,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089026,0.0020,440,-2.1880,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089027,0.0030,445,2.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089028,0.0040,443,0.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089029,0.0050,444,1.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089030,0.0060,441,-1.1880,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089031,0.0070,443,0.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089032,0.0080,444,1.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089033,0.0090,443,0.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089034,0.0100,444,1.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089035,0.0110,443,0.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089036,0.0120,442,-0.1880,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089037,0.0130,443,0.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089038,0.0140,444,1.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089039,0.0150,443,0.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089040,0.0160,443,0.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
1089041,0.0170,443,0.8120,3953,70,19.20,100% MVC,19.20,Controlled_Force
