subject_id,S02
muscle,FF
test_type,Controlled_Force
mvc_trial1_kg,18.20
mvc_trial2_kg,19.10
mvc_trial3_kg,19.20
mvc_kg_100_percent,19.20
manual_mvc_trial_kg,
mvc_level,60% MVC
target_force_kg,11.52
sample_rate,1000
baseline,442.1790
rms,2.3631
battery_mv_last,3954
battery_percent_last,70
record_time,2026-07-24 16:14:45

sample_index,time_sec,adc_raw,emg_centered,battery_mv,battery_percent,mvc_kg_100_percent,mvc_level,target_force_kg,test_type
748928,0.0000,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748929,0.0010,444,1.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748930,0.0020,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748931,0.0030,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748932,0.0040,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748933,0.0050,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748934,0.0060,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748935,0.0070,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748936,0.0080,444,1.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748937,0.0090,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748938,0.0100,444,1.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748939,0.0110,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748940,0.0120,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748941,0.0130,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748942,0.0140,444,1.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748943,0.0150,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748944,0.0160,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748945,0.0170,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748946,0.0180,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748947,0.0190,444,1.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748948,0.0200,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748949,0.0210,444,1.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748950,0.0220,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748951,0.0230,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748952,0.0240,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748953,0.0250,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748954,0.0260,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748955,0.0270,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748956,0.0280,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748957,0.0290,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748958,0.0300,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748959,0.0310,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748960,0.0320,444,1.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748961,0.0330,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748962,0.0340,444,1.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748963,0.0350,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748964,0.0360,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748965,0.0370,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748966,0.0380,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748967,0.0390,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748968,0.0400,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748969,0.0410,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748970,0.0420,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748971,0.0430,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748972,0.0440,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748973,0.0450,444,1.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748974,0.0460,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748975,0.0470,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748976,0.0480,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748977,0.0490,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748978,0.0500,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748979,0.0510,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748980,0.0520,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748981,0.0530,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748982,0.0540,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748983,0.0550,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748984,0.0560,444,1.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748985,0.0570,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748986,0.0580,445,2.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748987,0.0590,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748988,0.0600,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748989,0.0610,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748990,0.0620,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748991,0.0630,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748992,0.0640,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748993,0.0650,443,0.8210,3954,70,19.20,60% MVC,11.52,Controlled_Force
748994,0.0660,440,-2.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748995,0.0670,442,-0.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748996,0.0680,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748997,0.0690,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
748998,0.0700,441,-1.1790,3954,70,19.20,60% MVC,11.52,Controlled_Force
