time_sec,bts_raw,diy_raw,bts_rms,diy_rms,bts_norm_rms,diy_norm_rms
0.0,-0.0036,-1.092,0.0076091949749945995,1.1214835279974236,0.007481698741954313,0.009730792957923031
0.001,0.0084,-1.092,0.007674840602240865,1.1000385591714157,0.007640169289497824,0.009124550804204243
0.002,0.0192,-0.092,0.007716595292304772,1.0821407685239832,0.00774096638558031,0.0086185862007142
0.003,0.029,0.908,0.007741595999561038,1.082140768523983,0.007801318855867671,0.008618586200714193
0.004,0.0294,0.908,0.007789033950401665,1.068410290347557,0.00791583551690672,0.00823043013815232
0.005,0.0102,0.908,0.008364293411757661,1.0732997969530345,0.00930452941236882,0.008368654867653067
0.006,0.0123,0.908,0.008421314995766335,1.0732997969530345,0.009442181256348527,0.008368654867653067
0.007,0.0141,1.908,0.008429077462340681,1.0865342780063574,0.009460920087553691,0.008742789256106295
0.008,0.0115,-0.092,0.00844844046049993,1.0817045953789417,0.009507662956029436,0.008606255730617008
0.009000000000000001,0.005399999999999997,-0.092,0.00846621633012102,1.0865342780063574,0.009550574447778133,0.008742789256106295
0.01,0.0034,-0.092,0.008473796308371159,1.0865342780063576,0.00956887274659949,0.008742789256106302
0.011,0.0142,-1.092,0.008491090825341661,1.105215159378729,0.009610622238359763,0.009270891574577231
0.012,0.0213,-0.092,0.00849139323582458,1.105215159378729,0.009611352266494483,0.009270891574577231
0.013000000000000001,0.011799999999999984,-2.092,0.008506199240581115,1.105215159378729,0.009647094413825908,0.009270891574577231
0.014,0.0029,-2.092,0.008507378804019847,1.1004674656261642,0.009649941915964884,0.009136675847377785
0.015,0.0059,-1.092,0.008537651972410864,1.1000385591714137,0.009723022268336327,0.009124550804204186
0.016,0.001,-1.092,0.00853775363097233,1.0821407685239812,0.009723267675206117,0.008618586200714142
0.017,-0.0093,-0.092,0.008553071774022585,1.0865342780063574,0.009760246140008002,0.008742789256106295
0.018000000000000002,-0.01040000000000002,0.908,0.008657661241215493,1.086099869277703,0.010012728305669493,0.008730508665474975
0.019,-0.0165,-1.092,0.008743429549299526,1.100038559171414,0.010219775618858668,0.009124550804204193
0.02,0.0,0.908,0.008775679948143773,1.1142264350303979,0.010297629065885258,0.009525637347496986
0.021,-0.0023,-1.092,0.008781212489955288,1.1146498821416084,0.010310984790660178,0.009537608056840008
0.022,0.0087,-0.092,0.008789502827160253,1.1150731684495212,0.010330997917677193,0.009549574220327152
0.023,-0.0012,-0.092,0.008789529524561456,1.1107925443641269,0.010331062366018447,0.00942856239765466
0.024,0.0112,-0.092,0.008826926258437763,1.1107925443641267,0.010421339222868108,0.009428562397654654
0.025,-0.0038,-0.092,0.008831003994980578,1.115073168449521,0.010431183003326688,0.009549574220327145
0.026000000000000002,-0.005600000000000043,-1.092,0.008928865675188984,1.115073168449521,0.010667424085889218,0.009549574220327145
0.027,-0.0182,-0.092,0.009197901478274196,1.1107925443641267,0.011316884724962431,0.009428562397654654
0.028,0.0062,-1.092,0.009203408587299428,1.068851888597434,0.011330179054215107,0.008242913974163275
0.029,0.0096,-1.092,0.009220940072025289,1.0732997969530345,0.011372500593368593,0.008368654867653067
0.03,-0.0068,0.908,0.009241872187337427,1.0865342780063574,0.011423031358537679,0.008742789256106295
0.031,-0.0097,0.908,0.009250596479615953,1.0817045953789417,0.011444092066345696,0.008606255730617008
0.032,-0.0018,1.908,0.009253017709737932,1.0996094854202412,0.011449936989751172,0.009112421031616243
0.033,0.0003,1.908,0.00931955647259269,1.0996094854202412,0.011610563593910267,0.009112421031616243
0.034,-0.002,0.908,0.009369041031759059,1.0952684264804868,0.011730020829905978,0.008989700735662015
0.035,-0.0077,-1.092,0.009383552783276216,1.0585635253884391,0.011765052640937537,0.007952065359708873
0.036000000000000004,-0.0058999999999998975,-2.092,0.009391584953768543,1.059009229667312,0.01178444254563152,0.007964665271797244
0.037,0.0088,-0.092,0.00940392831917685,1.0545010451106398,0.011814239806421581,0.007837220390101537
0.038,0.0029,-0.092,0.00940515123218043,1.0495239628138824,0.011817191955733039,0.00769651992486409
0.039,-0.0026,-1.092,0.009413724204680477,1.044523165325538,0.011837887372977838,0.0075551490390286845
0.04,0.0053,-1.092,0.009436252907644134,1.044974858137474,0.011892272349462298,0.007567918244959881
0.041,0.0009,0.908,0.009446121027102097,1.0404058629968933,0.011916094290988754,0.007438754268232759
0.042,0.0073,-1.092,0.009446445841674344,1.044974858137474,0.01191687840327884,0.007567918244959881
0.043000000000000003,0.003700000000000007,-1.092,0.009450947398779124,1.0404058629968933,0.011927745299508144,0.007438754268232759
0.044,0.0047,-1.092,0.00945156830877712,1.0408593425607817,0.01192924419519222,0.007451573985048843
0.045,-0.0,-0.09199999999994449,0.009471125413022656,1.0413126246396014,0.011976455641683986,0.007464388119027555
0.046,0.0193,0.908,0.00957234006719315,1.0458776585313116,0.012220790905716943,0.007593440112563368
0.047,0.0109,0.907999999999889,0.009572778937690356,1.0316646655933388,0.012221850352490632,0.00719164351778088
0.048,-0.0058,-1.0919999999999446,0.009573510332032494,1.011626497772801,0.01222361596075322,0.0066251711617395575
0.049,-0.0036,-0.09200000000011102,0.009584158812637737,1.0064374125484339,0.012249321717904247,0.0064784774440767275
0.05,-0.01,-2.091999999999889,0.009635325473217713,1.0064374125484339,0.012372839598046722,0.0064784774440767275
0.051000000000000004,-0.007999999999999988,-0.092,0.009640911198661931,1.0012214339287338,0.012386323709734042,0.006331023459050496
0.052000000000000005,-0.006199999999999897,-0.09199999999994449,0.00966252745025274,0.9959781393883272,0.012438506000758288,0.0061827972620087475
0.053,0.0086,0.907999999999889,0.009472551079273377,0.9959781393883272,0.011979897243521661,0.0061827972620087475
0.054,0.0305,-1.091999999999889,0.009021951458116507,0.9959781393883272,0.010892136006665023,0.0061827972620087475
0.055,0.0098,0.908,0.008539347723469553,0.9964518379616683,0.009727115863142873,0.006196188563513811
0.056,-0.0036,1.908,0.008478497527874091,0.991659301875429,0.009580221633951225,0.006060705158419135
0.057,-0.0057,-0.092,0.008414062644418348,0.9921350624959363,0.009424673858867475,0.006074154753313448
0.058,0.0055,-1.092,0.008412394632775,0.9776234955699691,0.009420647227856106,0.005663917570950968
0.059000000000000004,0.0035999999999999375,-1.092,0.008411035413722078,0.9983443846329771,0.009417366031581755,0.006249690230004283
0.06,-0.0054,-2.092,0.00839394900260071,1.0186438639514528,0.009376118913692258,0.006823549775394611
0.061,-0.0007,-0.092,0.008389551633961694,1.0186438639514528,0.009365503531598925,0.006823549775394611
0.062,-0.005,-0.092,0.00826895203763288,1.0134907083674076,0.00907437242560678,0.0066778717767429765
0.063,-0.0014,-0.092,0.007996300616505312,1.0186438639514517,0.008416183574238009,0.00682354977539458
0.064,0.0072,0.908,0.00791953821867877,1.0031049818983628,0.008230876803252483,0.00638427073523006
0.065,-0.0004,-0.092,0.007919908605771178,0.9873215726665184,0.008231770928997016,0.005938078992851128
0.066,-0.0051,0.908,0.007906610167281908,1.001692652961006,0.008199668092642626,0.006344344664752205
0.067,-0.0134,0.908,0.007931995118815954,1.015860450130543,0.008260948140342903,0.006744863590156026
0.068,-0.0122,-2.092,0.007940521360612126,1.0349051371510698,0.008281530748242418,0.007283250573597198
0.069,-0.0075,-2.092,0.00792112031879406,1.0349051371510698,0.008234696041213274,0.007283250573597198
0.07,-0.0031,-1.092,0.0077545398507309115,1.0298333541320162,0.007832565707611757,0.007139872950360157
0.07100000000000001,-0.00379999999999995,-1.092,0.007776324205600162,1.0251968800682505,0.007885153805080331,0.007008801366862693
0.07200000000000001,-0.00020000000000010965,-0.092,0.007772924355969534,1.0200768291078857,0.007876946464315498,0.006864059224939079
0.073,-0.0081,-0.092,0.007728260864582335,1.0251968800682505,0.007769127433067886,0.007008801366862693
0.074,0.0027,0.908,0.007749164249447816,1.0251968800682505,0.007819588842061947,0.007008801366862693
0.075,0.0132,-0.092,0.007720872216315782,1.0302914871630025,0.00775129101066591,0.007152824219147175
0.076,0.0221,-0.092,0.007715218853269318,1.0302914871630025,0.007737643619742605,0.007152824219147175
0.077,0.0032,-0.092,0.007767642217630062,1.0251968800682505,0.007864195221163895,0.007008801366862693
0.078,0.0057,0.908,0.007556644413975905,1.044071277099376,0.007354840083918946,0.007542374308802155
0.079,-0.0062,1.908,0.007534565001397297,1.0390442368085422,0.007301539708135423,0.007400261547647184
0.08,-0.004,-0.092,0.007488239302310215,1.0339927564669733,0.007189708056773093,0.007257457874366633
0.081,-0.0021,1.908,0.007467957966873816,1.048174181521036,0.0071407482940845195,0.007658362055544543
0.082,-0.0111,-0.092,0.007439238737910834,1.0621662813271833,0.007071419198915426,0.008053914074778049
0.083,-0.0096,-0.092,0.007437365594942509,1.0486243016662575,0.007066897374625375,0.007671086802709501
0.084,-0.0052,0.908,0.007454211593464266,1.03490513715107,0.007107564129162508,0.007283250573597205
0.085,0.0039,-1.092,0.007462663117552064,1.03490513715107,0.007127966366233778,0.007283250573597205
0.08600000000000001,-0.004799999999999954,-0.092,0.0075671441072735655,1.0495239628138804,0.007380186663968782,0.007696519924864033
0.08700000000000001,-0.0015000000000000347,-0.092,0.007544958985509101,1.0732997969530356,0.007326631102984571,0.0083686548676531
0.088,-0.004,-0.092,0.007779208187099087,1.1462373561417951,0.007892115824431986,0.010430575466761592
0.089,-0.0065,-1.092,0.007976909741023138,1.1507962383644679,0.00836937340905396,0.010559453554654711
0.09,-0.0043,-0.092,0.00856076180171531,1.1507962383644679,0.009778810101542247,0.010559453554654711
0.091,0.0008,0.908,0.008880081866933459,1.1507962383644679,0.010549658483977774,0.010559453554654711
0.092,-0.0029,-0.092,0.00892199857893424,1.1466489819699337,0.010650846705960454,0.010442211992354223
0.093,0.0011,-1.092,0.008953803320123466,1.1420735450196755,0.01072762432180726,0.010312865907804778
0.094,0.0061,-1.092,0.008960654444214402,1.1545199285318466,0.010744163144445151,0.010664721040243935
0.095,0.0139,0.908,0.008969287685759391,1.2167813021586085,0.010765004053003728,0.01242482941564999
0.096,-0.0009,0.908,0.00907205857371303,1.220690309482271,0.011013096112882283,0.012535335755762999
0.097,0.0012,-0.092,0.008876247282555216,1.2526535915512196,0.01054040168026498,0.01343892713510322
0.098,-0.0045,-0.092,0.008815514201457897,1.2526535915512205,0.010393790169045944,0.013438927135103244
0.099,-0.0099,-0.092,0.00879634929740973,1.2484667055261411,0.010347525505799779,0.01332056525629553
0.1,0.0049,-0.092,0.008869330451037617,1.2522768101296216,0.010523704237893866,0.013428275649322844
0.101,0.0106,-0.092,0.008841275797230201,1.2358209408934095,0.010455979447431792,0.012963073685728615
0.10200000000000001,-0.002099999999999935,-0.092,0.008822752357535634,1.2358209408934095,0.010411263298711403,0.012963073685728615
0.10300000000000001,0.0026000000000000194,0.908,0.00881189878755905,1.2400505246035536,0.010385062449559047,0.01308264261392691
0.10400000000000001,0.00399999999999995,-1.092,0.008806559124738196,1.2518999153089971,0.010372172340553857,0.013417620957789617
0.105,0.0004,-0.092,0.008275038523277142,1.2518999153089982,0.00908906538769919,0.013417620957789648
0.106,0.0065,-1.092,0.008268529766369208,1.2518999153089982,0.009073353049889413,0.013417620957789648
0.107,0.014,-1.0920000000000556,0.008274647048513767,1.2400505246035554,0.009088120355673388,0.01308264261392696
0.108,0.0114,-2.092,0.008258711705249616,1.2442657309387049,0.009049651950719462,0.013201805098504273
0.109,-0.0005,-2.091999999999889,0.008244536612656991,1.2438864087812347,0.009015432844605872,0.013191081786963755
0.11,-0.002,-0.092,0.008246052356027182,1.2435069709144875,0.009019091895358917,0.013180355204360365
0.111,-0.0005,-0.09200000000005551,0.008270839602887109,1.2435069709144877,0.009078929065735139,0.013180355204360372
0.112,0.0031,-1.091999999999889,0.008275908205321548,1.2435069709144875,0.009091164826695313,0.013180355204360365
0.113,0.0041,0.908,0.008262472910848943,1.2435069709144875,0.009058731615820582,0.013180355204360365
0.114,0.003,0.9080000000000555,0.008265296586856359,1.2598624519965174,0.009065548055875334,0.013642719228142558
0.115,0.0037,1.908,0.008243331911917118,1.2560753574406087,0.009012524660254801,0.013535659321525843
0.116,-0.0064,1.908,0.008243287435039845,1.2560753574406087,0.00901241729171572,0.013535659321525843
0.117,-0.01,1.9079999999999444,0.008227765468783808,1.252276810129625,0.008974946791474809,0.013428275649322944
0.11800000000000001,-0.008799999999999926,0.908,0.008159117255889515,1.2526535915512245,0.008809227910544152,0.013438927135103357
0.11900000000000001,-0.003400000000000033,-0.092,0.00807265364343496,1.2362027378987757,0.008600502111385267,0.012973866960398048
0.12,-0.0058,-0.092,0.008070515001643621,1.2234302155545287,0.008595339364833976,0.012612791991382153
0.121,0.0003,-0.092,0.008064875369854566,1.2234302155545287,0.008581725121585105,0.012612791991382153
0.122,0.0025,-1.092,0.008055868475270367,1.2191429722197984,0.008559982203186744,0.012491593044727063
0.123,-0.0058,-0.092,0.008056915222195997,1.2230444313654545,0.008562509082209803,0.012601886000352157
0.124,-0.009,-1.092,0.008037732944310622,1.2269334845358046,0.008516202477990401,0.012711828243171394
0.125,-0.0024,-0.092,0.00803468408617042,1.2230444313654545,0.008508842441395005,0.012601886000352157
0.126,-0.0106,-0.092,0.00796103918752094,1.227318046275261,0.00833106140856264,0.012722699675956281
0.127,-0.0029,1.908,0.007696631525990036,1.227318046275261,0.007692773244442994,0.012722699675956281
0.128,-0.0022,-0.092,0.007965945062457151,1.2438864087812347,0.008342904340375979,0.013191081786963755
0.129,-0.0047,-0.092,0.007945812965675444,1.2438864087812347,0.008294304844354292,0.013191081786963755
0.13,-0.004,1.908,0.007925041462213149,1.2319599439793296,0.008244161801092274,0.012853924583965656
0.131,0.0072,1.908,0.007914864781999098,1.2477105002090032,0.008219594984483974,0.013299187582873158
0.132,-0.0007,-1.092,0.007942208863905904,1.247710500209003,0.008285604432692767,0.013299187582873153
0.133,-0.005,-1.092,0.007975977285041801,1.2632646916201087,0.008367122431858354,0.013738899413509484
0.134,0.0041,0.908,0.007952451297424305,1.2632646916201087,0.008310329979784425,0.013738899413509484
0.135,-0.0147,-2.092,0.007988667759502754,1.2756384275925043,0.008397757624494562,0.014088700824102126
0.136,-0.0012,-3.092,0.008016450104614705,1.2867935658426521,0.008464825053455478,0.014404052881392076
0.137,0.0209,-4.092,0.00802505735089389,1.2867935658426521,0.008485603208649082,0.014404052881392076
0.138,0.0179,-1.092,0.008023915096231939,1.2867935658426521,0.00848284577103584,0.014404052881392076
0.139,0.0312,-1.092,0.008031916693858178,1.2867935658426521,0.008502161871898067,0.014404052881392076
0.14,0.0242,-1.092,0.00802113998611779,1.2827181200385265,0.00847614657052957,0.014288841380657185
0.14100000000000001,0.00870000000000005,-0.092,0.00801088988957335,1.2827181200385265,0.008451402524659191,0.014288841380657185
0.14200000000000002,0.010499999999999851,-0.092,0.008042057287606801,1.2830859623240074,0.00852664157467754,0.014299240160025347
0.14300000000000002,0.00509999999999969,1.908,0.008045824064523014,1.2871602434552585,0.008535734689107647,0.014414418735844488
0.14400000000000002,-0.0061000000000002086,3.908,0.008049568466926183,1.2830859623240074,0.008544773790780445,0.014299240160025347
0.145,-0.0136,0.908,0.008192046468933343,1.2830859623240076,0.00888872003576456,0.014299240160025354
0.146,-0.0045,2.908,0.008142617722179961,1.295270359256921,0.008769397532637078,0.014643689018790568
0.147,-0.0033,0.908,0.008157954827580213,1.2915870892775405,0.00880642177313055,0.014539564198505479
0.148,0.0003,-0.092,0.008165408448767645,1.2956346378540926,0.00882441504214637,0.014653987053872584
0.149,-0.0119,0.908,0.008168739247524938,1.2993064339055778,0.008832455691995677,0.01475778751002288
0.15,-0.0071,-0.092,0.00810967987855788,1.3029678827851257,0.008689884572937383,0.014861295455055485
0.151,-0.0056,-0.092,0.00815426875412199,1.3365289322393752,0.008797523479310934,0.01581005518827234
0.152,-0.0044,-1.092,0.00842035302853794,1.3510609814050432,0.009439859038101897,0.016220871396755578
0.153,-0.008,1.908,0.008541947729881582,1.3549308768693828,0.00973339235796842,0.01633027205758203
0.154,-0.0046,-1.092,0.008751624112661104,1.3552791197136422,0.010239557544894922,0.016340116767249543
0.155,-0.0092,0.908,0.008785900655263993,1.351410221477146,0.010322302164788662,0.01623074429772337
0.156,-0.0048,0.908,0.008819639758240697,1.354930876869381,0.010403749389023224,0.016330272057581977
0.157,-0.0025,-1.092,0.008803073917226565,1.3510609814050414,0.010363758943259338,0.01622087139675553
0.158,0.0026,0.908,0.009082928189594679,1.350711651033409,0.011039335697339154,0.016210995943049998
0.159,-0.0039,0.908,0.009484488850142806,1.3354692632178566,0.012008715386716948,0.015780098696610043
0.16,0.0084,-2.092,0.009598871700707723,1.320050886050192,0.012284839078712612,0.015344226289575465
0.161,0.003,-0.092,0.009751144351869615,1.320050886050192,0.01265242990566902,0.015344226289575465
0.162,-0.0017,-0.092,0.01017835124111147,1.3240114226776025,0.013683720373784212,0.015456189346009081
0.163,0.0026,-2.092,0.010263958314713464,1.3236549535823219,0.013890378462013193,0.015446112082954492
0.164,-0.0039,-0.092,0.010263182100735926,1.3236549535823203,0.013888504657782946,0.015446112082954449
0.165,-0.0003,-0.092,0.0102720998460482,1.3240114226776014,0.013910032367118224,0.01545618934600905
0.166,0.0008,-0.092,0.010350225043086955,1.3131724807645777,0.014098628976991892,0.015149776054262262
0.167,-0.0082,-1.092,0.010397680279908218,1.3138910102108547,0.014213187366915727,0.01517008864331546
0.168,0.003,-0.092,0.010381099316046975,1.3026056549592355,0.014173160414137393,0.014851055394597194
0.169,0.0073,0.908,0.010368045011609487,1.3138910102108556,0.014141646924834479,0.015170088643315486
0.17,0.0008,-1.092,0.0104663946634351,1.3175119282549308,0.014379065985772849,0.01527245079507656
0.171,-0.0002,-0.092,0.01049716540109478,1.3211229221670289,0.014453347485543642,0.015374532394919264
0.17200000000000001,-0.0013000000000001277,0.908,0.010498371952426843,1.3247240731021208,0.014456260137280736,0.015476335737067696
0.17300000000000001,-0.0058999999999998776,0.908,0.010519534585363288,1.3207656734778492,0.014507347379029827,0.015364433093003803
0.17400000000000002,-0.0014999999999997502,-0.092,0.01050362212185383,1.3207656734778492,0.014468934206501973,0.015364433093003803
0.17500000000000002,0.00750000000000003,-1.092,0.010464853071317918,1.3167953746192005,0.014375344535355715,0.015252194061531985
0.176,0.0086,-0.092,0.01047642215691936,1.3207656734778495,0.014403272661062557,0.01536443309300381
0.177,0.0208,-2.092,0.010438155527489983,1.3207656734778495,0.014310895849800342,0.01536443309300381
0.178,-0.0005,0.908,0.010523853112684793,1.3095395640668035,0.014517772435776611,0.015047074704542017
0.179,0.0024,0.908,0.010526434204934678,1.313531794619053,0.01452400327123752,0.015159933737715452
0.18,-0.0001,1.908,0.010524717762364813,1.3175119282549308,0.014519859726491528,0.01527245079507656
0.181,-0.0069,1.908,0.010546804332967657,1.3066190714782389,0.014573177381964005,0.014964513348021697
0.182,-0.0133,1.908,0.010637568705331158,1.291587089277532,0.014792285346793534,0.014539564198505241
0.183,-0.0074,-0.092,0.010637640773873976,1.291221668789157,0.014792459322455282,0.014529233882537755
0.184,-0.0092,-2.092,0.010676416867976126,1.290856144856158,0.014886065996985397,0.014518900642225076
0.185,-0.0077,1.908,0.01070228074344953,1.290856144856158,0.014948502181691066,0.014518900642225076
0.186,0.0061,-0.092,0.010604811348132837,1.2786296844107263,0.014713208086828872,0.014173262661916767
0.187,0.0007,-0.092,0.01060515088761886,1.2465753321073385,0.014714027745510184,0.01326709675726415
0.188,0.0054,-0.092,0.01039750352143904,1.184286427247181,0.014212760666576823,0.011506210083024285
0.189,-0.005,-0.092,0.010263264498910568,1.184286427247181,0.013888703569491158,0.011506210083024285
0.19,0.0015,-0.092,0.00980768618138786,1.1798569557971916,0.012788923607667702,0.011380990394739138
0.191,-0.0071,-1.092,0.00950768245520953,1.1927004409162816,0.012064705457169672,0.011744071457855878
0.192,-0.0038,-1.092,0.009549888024577905,1.1970823895541896,0.012166590989653064,0.011867947692010562
0.193,0.0027,-0.092,0.009511012489872801,1.2140634491732798,0.012072744262472694,0.012347996613481566
0.194,0.0164,-1.092,0.009506192261677109,1.2148405990474744,0.012061108084504732,0.012369966382582963
0.195,0.0106,-2.092,0.009504106048854639,1.1524743854803923,0.012056071903084319,0.010606894216847754
0.196,0.0051,-0.092,0.009408668270616604,1.165214702777789,0.011825682193850823,0.010967058759874155
0.197,0.0037,-1.092,0.009405167326514982,1.143764490263799,0.011817230807947816,0.010360668368835854
0.198,0.0051,0.908,0.009414721326661836,1.1441770057233978,0.01184029445587097,0.010372330044014706
0.199,0.0015,0.908,0.009418792163811023,1.1483331898048075,0.01185012158098278,0.010489823989061146
0.2,-0.0098,2.908,0.00936181870281347,1.1441770057233978,0.011712585907420536,0.010372330044014706
0.201,-0.0235,1.9079999999996669,0.009395665318053806,1.1441770057233978,0.011794292669540565,0.010372330044014706
0.202,-0.0145,-1.092,0.009465579986104299,1.161931509024483,0.01196306881186792,0.010874243961763263
0.203,-0.0192,-1.091999999999889,0.009514316237730308,1.1615252990900198,0.012080719610624381,0.010862760541687952
0.20400000000000001,-0.008699999999999972,-0.09199999999988898,0.009480728805872194,1.1838498842845495,0.011999638525098789,0.011493869158306526
0.20500000000000002,-0.007699999999999686,0.907999999999889,0.009470140132194889,1.1838498842845497,0.01197407714369699,0.011493869158306531
0.20600000000000002,0.0036000000000006326,-0.09199999999988898,0.009449562444269855,1.1838498842845495,0.011924401977056775,0.011493869158306526
0.20700000000000002,0.02640000000000009,0.907999999999889,0.00944054561103044,1.1842484366712476,0.011902635066441415,0.011505136102047129
0.20800000000000002,0.029599999999999592,-0.092,0.009438204478261646,1.1798188225907476,0.011896983500490937,0.011379912381644765
0.209,0.0148,-0.092,0.009434710862576596,1.1757739407548944,0.011888549805609182,0.01126556491415245
0.21,0.0173,-0.09200000000011102,0.009431403373852315,1.1757739407548944,0.011880565426890938,0.01126556491415245
0.211,0.0292,-1.091999999999778,0.009443164660349432,1.1623375769980357,0.011908957531425521,0.010885723368650731
0.212,0.0136,0.908,0.009465242702136636,1.1790185883453714,0.011962254598076762,0.01135729002502898
0.213,0.0039,0.907999999999778,0.009468816464436591,1.1954668629561256,0.01197088176933281,0.011822277291081254
0.214,-0.0052,-1.092,0.00950088831417785,1.1782178105886905,0.01204830419337583,0.011334652303528932
0.215,-0.0132,-1.092,0.009492864737161766,1.1782178105886905,0.012028935033595754,0.011334652303528932
0.216,-0.0118,-2.092,0.009539402957862427,1.1946771103317644,0.01214127971861899,0.011799951246413977
0.217,-0.0081,0.908,0.009556798880026003,1.2109127081308968,0.012183274005610025,0.012258926209563425
0.218,-0.0071,1.908,0.009564957098355132,1.2109127081308968,0.012202968193628773,0.012258926209563425
0.219,-0.0147,0.908,0.009560310443028484,1.227702487555782,0.012191751025863775,0.012733567703407027
0.22,-0.0099,0.908,0.009538528892211177,1.2238158781326263,0.012139169697462168,0.012623694544510188
0.221,-0.0016,0.908,0.009538210856390455,1.2234302155545198,0.012138401949285138,0.012612791991381902
0.222,-0.0071,-0.092,0.009550172913287915,1.2234302155545198,0.012167278719693253,0.012612791991381902
0.223,-0.0006,-0.092,0.009551994809110098,1.2195299905909056,0.012171676831808557,0.012502533925673657
0.224,0.0001,-0.092,0.009534806899235651,1.2195299905909056,0.012130184692831591,0.012502533925673657
0.225,0.0055,-1.092,0.009557939427147168,1.2564509997637328,0.012186027321167695,0.013546278605370289
0.226,-0.0057,-0.092,0.009535460106064418,1.2564509997637328,0.01213176155405078,0.013546278605370289
0.227,-0.0137,0.908,0.0095330961722678,1.2726401400415737,0.012126054945723292,0.01400394022980646
0.228,-0.0032,-1.092,0.009303790099319227,1.2564509997637328,0.011572503087670482,0.013546278605370289
0.229,-0.0043,-1.092,0.009319791511158962,1.2564509997637328,0.011611130984182145,0.013546278605370289
0.23,-0.0079,-1.092,0.009329014698840532,1.2568265298142922,0.011633396040718384,0.013556894715306581
0.231,-0.0156,-0.092,0.009510348385256513,1.2454030042125581,0.012071141093661851,0.013233955436632602
0.232,-0.0008,0.908,0.009524827335289575,1.2338737211555704,0.012106093720909771,0.012908026429786713
0.233,0.0104,0.908,0.009597472988067296,1.2218495264872717,0.012281462543712755,0.012568106435890396
0.234,0.0085,0.908,0.009591393511285781,1.2257423708750115,0.012266786501228913,0.01267815585516739
0.23500000000000001,0.0029999999999999584,0.908,0.009547448235034978,1.2089253692931343,0.012160701263239024,0.012202744799977372
