Name,SubjectID,Date,Muscle,Condition,Trial,DIY_Position,SampleRate_Hz,Lag_Samples,Lag_Sec,Lag_CrossCorr,BTS_Baseline,DIY_Baseline,BTS_Onset_Sec,DIY_Onset_Sec,Onset_Diff_Abs_Sec,BTS_Peak_Sec,DIY_Peak_Sec,Peak_Diff_Abs_Sec,BTS_Rest_RMS_Mean,DIY_Rest_RMS_Mean,BTS_Active_RMS_Mean,DIY_Active_RMS_Mean,Pearson_r,Spearman_r,Trend_r,High_Low_Agreement,RMSE,DTW_Distance,Similarity_Score_Percent
S02_0724_FF_DIY-I_BTS-O_100_T1,S02,0724,FF,100,T1,I,1000,-593,-0.593,0.9697217598198076,4.0871825634897604e-05,-0.11859568086383049,11.526,11.652000000000001,0.12600000000000122,19.372,19.992,0.620000000000001,0.023082566058855555,1.1040698994153015,0.2682491855781937,5.843416152584993,0.7432497896035102,0.7061328260510613,0.875681041763315,0.6782035434693037,0.10836003641249758,0.024026982797901334,87.5681041763315
S02_0724_FF_DIY-I_BTS-O_100_T2,S02,0724,FF,100,T2,I,1000,-1017,-1.017,0.972103992599764,-3.665266946609071e-05,-0.023448110377927565,12.169,12.107000000000001,0.06199999999999939,19.961000000000002,18.948,1.0130000000000017,0.007029520908919546,0.9608021590626923,0.3174138965504511,6.958133650509789,0.7355170322919202,0.669484022678361,0.8477821626141735,0.7813211845102506,0.10375606046013844,0.018781391096416654,84.77821626141736
S02_0724_FF_DIY-I_BTS-O_100_T3,S02,0724,FF,100,T3,I,1000,641,0.641,0.9645996165415911,-5.162967406521037e-05,-0.09701819636072788,10.8,10.975,0.17499999999999893,13.18,13.094,0.0860000000000003,0.020439722084885377,1.0690618700173373,0.30355906124220217,6.624678016188798,0.7173981039537205,0.6712573793950708,0.8664649807503456,0.43386039336675664,0.1451140281934012,0.029500451397286215,86.64649807503456
S02_0724_FF_DIY-I_BTS-O_30_T1,S02,0724,FF,30,T1,I,1000,-1196,-1.196,0.9195656271788307,-0.00016750649870016406,0.05350049990001398,11.351,11.386000000000001,0.03500000000000014,12.229000000000001,14.571,2.3419999999999987,0.038108967556244044,1.22207605697094,0.10643318544896822,2.2403468098297017,0.49012581068608596,0.5423155320444061,0.6574052963427797,0.2565880721220527,0.1321776473480508,0.02848774861253164,65.74052963427796
S02_0724_FF_DIY-I_BTS-O_30_T2,S02,0724,FF,30,T2,I,1000,-830,-0.83,0.9489647643915294,-0.00022481503699271698,-0.06068726254749204,11.359,11.345,0.013999999999999346,20.234,13.204,7.030000000000001,0.03237978717090114,1.1549622421791765,0.10528657016460694,2.264396428918293,0.6978847573582145,0.7222653255938513,0.8718668699125823,0.3811859117253678,0.1151335479287268,0.02659196891918566,87.18668699125823
S02_0724_FF_DIY-I_BTS-O_30_T3,S02,0724,FF,30,T3,I,1000,-972,-0.972,0.9493099883114766,4.4631073785228314e-05,-0.09164607078583614,11.65,11.758000000000001,0.10800000000000054,21.942999999999998,18.855,3.0879999999999974,0.02406176709381668,1.0340833556886648,0.11851818949735547,2.70681862860564,0.6363030781011048,0.5676360359132511,0.7545534379732269,0.45231752797016517,0.1064444690746906,0.021059037753447897,75.4553437973227
S02_0724_FF_DIY-I_BTS-O_60_T1,S02,0724,FF,60,T1,I,1000,857,0.857,0.9524585819589991,-2.399520095977485e-05,-0.028230153969205692,10.41,10.439,0.028999999999999915,20.492,15.719000000000001,4.773,0.02492691469117502,1.0880087941886387,0.20447519823413682,3.8737054766737535,0.6974399912753252,0.6874670789597154,0.8558975363274248,0.5802798134576949,0.1336427225812852,0.02533428327953818,85.58975363274249
S02_0724_FF_DIY-I_BTS-O_60_T2,S02,0724,FF,60,T2,I,1000,-1044,-1.044,0.9595569526961635,0.00020773845230952627,0.03636072785442254,11.057,11.167,0.10999999999999943,18.05,20.392,2.3419999999999987,0.029153080009849622,1.103880768254949,0.19835367154501338,3.735285295122559,0.7845371051351564,0.769775023736108,0.9112907133637652,0.7585718333805611,0.11116059677617081,0.022860924030696842,91.12907133637653
S02_0724_FF_DIY-I_BTS-O_60_T3,S02,0724,FF,60,T3,I,1000,-734,-0.734,0.958106564778545,2.9514097180545396e-05,0.016391921615676062,11.795,12.111,0.3160000000000007,19.852000000000004,15.750000000000002,4.102000000000002,0.024884575473019213,1.0850890260810355,0.18805933983856132,3.8226722941966953,0.7711283874883955,0.818141938151648,0.9074582570302592,0.4247052518756699,0.1928281702800605,0.0361298272838998,90.74582570302591
S02_0724_FF_DIY-I_BTS-O_MVC_T1,S02,0724,FF,MVC,T1,I,1000,-25,-0.025,0.9535863526829467,-0.0001672065586882606,0.018349530093981378,11.536999999999999,11.605,0.06800000000000139,15.474,15.499,0.025000000000000355,0.03359707735372077,1.4040325441849926,0.2760067205377151,5.589827485287324,0.7911182122904774,0.7935141591793273,0.8795831257570222,0.7536988685813751,0.10653487729394807,0.020083114858237217,87.95831257570222
S02_0724_FF_DIY-I_BTS-O_MVC_T2,S02,0724,FF,MVC,T2,I,1000,944,0.944,0.9679762907738488,1.0697860427899697e-05,-0.08466046790642752,10.662,10.791,0.12899999999999956,14.708,19.738,5.029999999999999,0.017063200233456147,1.094775191150259,0.2607111817467241,5.197605292175489,0.6978162831174302,0.6816574741027006,0.8427441628032577,0.4088335220838052,0.1380908419518099,0.027300275912598537,84.27441628032577
S02_0724_FF_DIY-I_BTS-O_MVC_T3,S02,0724,FF,MVC,T3,I,1000,-821,-0.821,0.9716043961798031,-7.706458708263463e-05,-0.08249090181963202,11.781,11.813,0.03200000000000003,13.457,13.16,0.2970000000000006,0.021117292523011904,1.0464804069320264,0.2478814334205995,5.284909408937323,0.8245098251503103,0.7906211608041691,0.9166957626914514,0.6841121495327103,0.10389882379376247,0.02079672809830764,91.66957626914514
S02_0724_FF_DIY-O_BTS-I_100_T1,S02,0724,FF,100,T1,O,1000,-1083,-1.083,0.9752699262762119,2.5794841031807794e-06,-0.15359648070386053,11.765,11.745,0.02000000000000135,18.256,13.599,4.657,0.00573305844263511,1.0144587236313203,0.25662289044319236,20.867471714856837,0.6795466664123765,0.6330527884147229,0.806833316014815,0.3957533896137119,0.1297825947367256,0.025567696751794884,80.6833316014815
S02_0724_FF_DIY-O_BTS-I_100_T2,S02,0724,FF,100,T2,O,1000,-353,-0.353,0.9645890491644563,1.1957608478307576e-05,-0.08742171565687039,11.588000000000001,11.489,0.0990000000000002,20.101,13.105,6.995999999999999,0.005988408455708198,1.0218943312226278,0.1885225921252219,17.167224781508096,0.653573421399363,0.6038626547152482,0.784550243589239,0.4147826086956522,0.12779251590257493,0.02665294652991484,78.4550243589239
S02_0724_FF_DIY-O_BTS-I_100_T3,S02,0724,FF,100,T3,O,1000,362,0.362,0.9708574349468941,1.663667266547145e-05,-0.06840471905618613,11.072000000000001,11.068,0.004000000000001336,13.471,19.925,6.454000000000001,0.008766844865745771,1.1573026056758995,0.23263711528713638,19.645057715198462,0.7363538857724875,0.7196912954205541,0.8779349521108881,0.5931407942238267,0.11352869430304621,0.022376866041932775,87.79349521108881
S02_0724_FF_DIY-O_BTS-I_30_T1,S02,0724,FF,30,T1,O,1000,-706,-0.706,0.9531959970003856,3.3393321335742442e-06,0.01375864827034286,11.405000000000001,11.499,0.09399999999999942,15.908000000000001,13.828000000000001,2.08,0.0077410850839083846,1.2468992015836813,0.063464186433042,7.493898721529148,0.6264739104086313,0.5657633559404388,0.8098447104457668,0.32723045626271435,0.2023853196721192,0.041237488037099326,80.98447104457668
S02_0724_FF_DIY-O_BTS-I_30_T2,S02,0724,FF,30,T2,O,1000,-1122,-1.122,0.954789145795133,-3.3733253349287936e-05,-0.09022915416916712,11.872,11.897,0.025000000000000355,13.608,13.284,0.32399999999999984,0.008288010565832407,1.180951923295592,0.05526975461118129,7.860167404006892,0.6645963908846644,0.5150916322075598,0.8057499640321958,0.6003440366972477,0.11757136679911308,0.02336107954560474,80.57499640321957
S02_0724_FF_DIY-O_BTS-I_30_T3,S02,0724,FF,30,T3,O,1000,-1007,-1.007,0.9596927517698175,-1.7196560687910512e-06,0.09374185162967145,11.041,11.085,0.04400000000000048,18.471999999999998,14.338000000000001,4.133999999999997,0.008613333928061281,1.1381403710714608,0.06738623543633546,8.037203981333771,0.7485418533451245,0.6440185504256803,0.8321379171971579,0.4315082032022139,0.15362852660135926,0.03188928644358795,83.21379171971579
S02_0724_FF_DIY-O_BTS-I_60_T1,S02,0724,FF,60,T1,O,1000,-1147,-1.147,0.9794969965128213,-4.5130973805290816e-05,0.15442971405718367,11.433,11.494,0.06099999999999994,17.860000000000003,12.928,4.932000000000002,0.01987365578960083,2.1679003364610145,0.17715234436989583,14.702609942336366,0.8334749556588035,0.789888697574033,0.9199582545576271,0.6182707993474714,0.09426616492328331,0.021814614967821874,91.99582545576271
S02_0724_FF_DIY-O_BTS-I_60_T2,S02,0724,FF,60,T2,O,1000,-391,-0.391,0.9728681258070042,8.71825634873112e-06,0.01119016196760408,11.591000000000001,11.619,0.027999999999998693,20.183999999999997,14.42,5.763999999999998,0.005548971156849021,1.0083775159683557,0.14706438782023187,13.63750063146444,0.8120418151235661,0.7756134066999062,0.9177418946058634,0.6695095948827292,0.11602200206215231,0.02436174214177644,91.77418946058634
S02_0724_FF_DIY-O_BTS-I_60_T3,S02,0724,FF,60,T3,O,1000,-803,-0.803,0.9566171125321759,2.6474705058991704e-05,0.03918716256749149,11.735999999999999,11.586,0.14999999999999858,21.141,15.585999999999999,5.555,0.008626062275158046,1.1242037857138176,0.13238848528906771,12.86231540330787,0.6110823878346243,0.5504093855301689,0.7322336468457634,0.5466963151207116,0.1401399138990753,0.027787484519593345,73.22336468457634
S02_0724_FF_DIY-O_BTS-I_MVC_T1,S02,0724,FF,MVC,T1,O,1000,312,0.312,0.9700142523899978,1.7796440712116657e-06,-0.18077104579084624,11.347,11.532,0.1850000000000005,12.374,12.34,0.034000000000000696,0.029709852690161125,4.059655860273664,0.20153546019975016,17.149046012031405,0.7855044832858461,0.7760267301194427,0.8779252464722962,0.4378339864624154,0.12104295094851812,0.022926827089782886,87.79252464722961
S02_0724_FF_DIY-O_BTS-I_MVC_T2,S02,0724,FF,MVC,T2,O,1000,-851,-0.851,0.9722002700217343,8.418316336722194e-06,-0.07058028394320459,11.751000000000001,11.713000000000001,0.038000000000000256,13.512,13.533999999999999,0.021999999999998465,0.009140251637675923,1.1194521522250507,0.22990044338772586,20.383971555707532,0.7919664913126134,0.7896610983392978,0.9015516012035197,0.5778534923339012,0.10397137058158253,0.02118478666021152,90.15516012035198
S02_0724_FF_DIY-O_BTS-I_MVC_T3,S02,0724,FF,MVC,T3,O,1000,-1123,-1.123,0.9598395670254244,4.655068986200119e-05,0.005613077384527738,11.676,11.648000000000001,0.027999999999998693,13.798000000000002,14.806000000000001,1.0079999999999991,0.011893018335693447,1.339469368560105,0.17260979603003143,16.878871550945906,0.7030346495141918,0.7211686726348688,0.8269586464381988,0.36233993015133875,0.16890962856303018,0.031348906779762375,82.69586464381989
S01_0626_FF_DIY-I_BTS-O_100_T1,S01,0626,FF,100,T1,I,1000,-175,-0.175,0.9865707265238924,-2.1535692861460493e-05,0.007270945810839299,10.738999999999999,10.392999999999999,0.3460000000000001,15.635,16.871,1.2359999999999989,0.029224946451958715,1.4174937856958836,0.2027965620327802,9.100854834538543,0.9347240648277023,0.8774129337632945,0.9761278031042614,0.7964350820336237,0.0765069252986069,0.01766054803894866,97.61278031042615
S01_0626_FF_DIY-I_BTS-O_100_T2,S01,0626,FF,100,T2,I,1000,-1047,-1.047,0.9766046055970855,3.661267746451419e-05,-0.02793421315736065,11.193999999999999,10.815,0.37899999999999956,13.565999999999999,13.57,0.004000000000001336,0.03672044672872202,1.2989268859830674,0.18402358495251608,7.910253213441633,0.8875744196853026,0.857461315047547,0.9525620633755406,0.6705653021442495,0.0825596295129573,0.019186228389475764,95.25620633755406
S01_0626_FF_DIY-I_BTS-O_100_T3,S01,0626,FF,100,T3,I,1000,-1133,-1.133,0.9686629065746087,2.813437312522156e-05,-0.024707858428312104,11.440999999999999,11.138000000000002,0.30299999999999727,13.764,13.758,0.006000000000000227,0.03972642003394265,1.433884156233267,0.1790725269744184,7.738966068172581,0.827224567602615,0.787491275854825,0.8743826695766083,0.7506619593998235,0.13191482655724207,0.026726195367158923,87.43826695766083
S01_0626_FF_DIY-I_BTS-O_30_T1,S01,0626,FF,30,T1,I,1000,606,0.606,0.9490289929407089,-6.418716256905105e-06,-0.016533693261349406,0.327,11.458,11.131,3.327,12.679,9.352,0.04442665071596024,1.461051501995698,0.051234277098265966,1.9566387793493567,0.8840912405222122,0.7041438899538798,0.9144986862199241,0.9841378635072946,0.11440863281271561,0.02320097579024739,91.44986862199241
S01_0626_FF_DIY-I_BTS-O_30_T2,S01,0626,FF,30,T2,I,1000,282,0.282,0.9498612074269217,1.659668066385207e-05,0.016086582683465658,19.432000000000002,15.735000000000001,3.697000000000001,20.122,18.323,1.7989999999999995,0.03201687552918225,1.3084226976674282,0.07490985679941173,3.400483539926114,0.8355670871806224,0.8161884498815157,0.8714850137789246,0.3366186504927976,0.14652371902218944,0.030551450041206407,87.14850137789246
S01_0626_FF_DIY-I_BTS-O_30_T3,S01,0626,FF,30,T3,I,1000,-939,-0.939,0.9180016566398205,6.840631873608181e-05,-0.07532853429313706,12.667,17.588,4.921000000000001,15.667000000000002,19.052,3.384999999999998,0.04685554143679362,1.5503507550570192,0.0799401627957017,3.7115981525847244,0.7230099652064842,0.7481448389303206,0.8282780989844059,0.1545827633378933,0.15360794814270648,0.033938631807591414,82.82780989844059
S01_0626_FF_DIY-I_BTS-O_60_T1,S01,0626,FF,60,T1,I,1000,922,0.922,0.9695892895500409,-7.576484703055008e-05,0.029493101379729693,15.225,9.488,5.737,16.721,16.73,0.009000000000000341,0.045433891370828115,1.5449517887185606,0.1336235683689533,6.177512525068356,0.9251982851934557,0.9203514768636438,0.9765884393556974,0.8529107819497072,0.07045569450382803,0.017248917170962177,97.65884393556973
