Name,SubjectID,Date,Muscle,Condition,Trial,DIY_Position,SampleRate_Hz,Lag_Samples,Lag_Sec,Lag_CrossCorr,BTS_Baseline,DIY_Baseline,BTS_Onset_Sec,DIY_Onset_Sec,Onset_Diff_Abs_Sec,BTS_Peak_Sec,DIY_Peak_Sec,Peak_Diff_Abs_Sec,BTS_Rest_RMS_Mean,DIY_Rest_RMS_Mean,BTS_Active_RMS_Mean,DIY_Active_RMS_Mean,Pearson_r,Spearman_r,Trend_r,High_Low_Agreement,RMSE,DTW_Distance,Similarity_Score_Percent
S03_0806_FF_DIY-I_BTS-O_100_T1,S03,0806,FF,100,T1,I,1000,548,0.548,0.9571573524951568,-0.00014675064987006246,0.05231413717256628,9.768,9.854000000000001,0.0860000000000003,19.829,18.831,0.9980000000000011,0.019424282694875575,1.23743710275142,0.12695008546591946,6.688645895445664,0.6407679636096312,0.6146897431504,0.7888827516987632,0.3011731391585761,0.18611915320293718,0.03852036809109775,78.88827516987632
S03_0806_FF_DIY-I_BTS-O_100_T2,S03,0806,FF,100,T2,I,1000,-535,-0.535,0.9603493215684339,-1.4597080583894486e-05,0.021129174165169188,10.429,10.556000000000001,0.12700000000000067,13.148,16.949,3.801000000000002,0.005569424933238893,0.9358259493389991,0.10684957484553714,5.727870942271942,0.6360866726816641,0.5696514240333606,0.7188081894145621,0.20666876376218937,0.16397589479343633,0.03148069211170761,71.88081894145621
S03_0806_FF_DIY-I_BTS-O_100_T3,S03,0806,FF,100,T3,I,1000,-832,-0.832,0.9583577142402513,4.8370325934834494e-05,-0.044877824435117654,10.251999999999999,10.863999999999999,0.6120000000000001,12.405999999999999,12.879999999999999,0.4740000000000002,0.005547159034923251,0.9293719975561332,0.08902894612044668,4.20797689538908,0.757397120444666,0.6400939317538755,0.8811861198967919,0.5464456052691347,0.14709697637661487,0.025673217480180265,88.11861198967918
S03_0806_FF_DIY-I_BTS-O_30_T1,S03,0806,FF,30,T1,I,1000,1014,1.014,0.9625939370271802,1.7096580683848892e-05,-0.0038458308338308236,8.891,8.928,0.03700000000000081,9.697000000000001,19.240000000000002,9.543000000000001,0.006281981540605938,0.9427291490114353,0.045086191298721046,2.3132510489485365,0.7852627930634863,0.7653224270006781,0.8972831697029225,0.6107429368678061,0.11597037472292393,0.024307902084162045,89.72831697029225
S03_0806_FF_DIY-I_BTS-O_30_T2,S03,0806,FF,30,T2,I,1000,-553,-0.553,0.9319641704170963,1.5176964607080066e-05,-0.001696060787834867,10.484,10.988999999999999,0.504999999999999,13.09,12.168,0.9220000000000006,0.00652764368505456,1.0008262399596186,0.0502585131503315,2.56593772394974,0.7216716769577624,0.6595182571940907,0.8402318737583477,0.5113108149984505,0.15908511914751233,0.02323260091656294,84.02318737583478
S03_0806_FF_DIY-I_BTS-O_30_T3,S03,0806,FF,30,T3,I,1000,132,0.132,0.9553391212370503,-5.508898220357997e-05,0.07510077984402994,9.311,9.629,0.3179999999999996,10.834,13.836,3.0020000000000007,0.006074690761836874,0.9537178327829097,0.048186822813053067,2.333758424899311,0.7337059570182041,0.6700119549534365,0.830378520569353,0.509354536950421,0.11253073860175783,0.022711877554237044,83.03785205693531
S03_0806_FF_DIY-I_BTS-O_60_T1,S03,0806,FF,60,T1,I,1000,1222,1.222,0.9525667138802181,-1.7776444711053593e-05,0.01614017196560526,9.283,9.413,0.13000000000000078,19.648,12.293000000000001,7.354999999999999,0.007477516421441536,0.9625684535776927,0.06454263537041857,3.6733835462435476,0.6248601521819745,0.5308945921310324,0.7638426679805311,0.4780827529700942,0.14321493807069766,0.02769920452310791,76.38426679805312
S03_0806_FF_DIY-I_BTS-O_60_T2,S03,0806,FF,60,T2,I,1000,816,0.816,0.9249845481397175,2.4795040991826367e-06,-0.046482103579280065,8.856,8.976,0.120000000000001,9.298,10.807,1.5090000000000003,0.0063754736464804885,0.9452274777816979,0.06841460762625098,3.5860986766188656,0.473558557611774,0.5404224549789205,0.426631815742375,0.20489642184557438,0.1847663890220521,0.040198984722761934,42.663181574237505
S03_0806_FF_DIY-I_BTS-O_60_T3,S03,0806,FF,60,T3,I,1000,-197,-0.197,0.9630773382462762,-4.027194561084793e-05,0.05652769446110991,9.553,9.74,0.1869999999999994,18.445,20.212,1.7669999999999995,0.009265160603551868,0.9624202068293537,0.06647674516564103,3.44466993525702,0.7353132957338767,0.5827828488895117,0.8504643282863408,0.3468024180719058,0.164733013780981,0.03307307592538525,85.04643282863408
S03_0806_FF_DIY-I_BTS-O_MVC_T1,S03,0806,FF,MVC,T1,I,1000,622,0.622,0.9571973555004344,-1.147770445911381e-05,0.009732853429314924,9.356,9.484,0.1280000000000001,18.047,14.461,3.5860000000000003,0.008757319407223822,0.9773333645086166,0.12071988585593284,7.078642312779913,0.6373151507890754,0.5673485154934155,0.7099795229074822,0.411166253101737,0.14094607505355178,0.025825789160419506,70.99795229074822
